D_INTERVIEW,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,Q102,Q103,Q104
170073487,0,0,0,0,0,0,0,0,0,0,0
170073488,0,0,0,0,0,0,0,0,0,0,0
170073538,1,0,0,0,0,0,0,0,0,0,0
170073540,0,0,0,0,0,0,0,0,0,0,0
170073559,2,0,2,0,0,0,0,0,0,0,0
170073582,2,0,1,0,0,0,0,0,0,0,0
170073584,0,0,0,0,0,0,0,0,0,0,0
170073588,2,1,0,0,0,1,0,2,1,2,0
170073614,1,0,0,0,0,0,0,0,0,0,0
170073615,1,1,1,1,1,1,1,1,1,1,1
170073616,1,1,1,1,1,1,1,1,1,1,1
170073617,1,1,1,1,1,1,1,1,1,1,1
170073626,2,0,0,0,0,0,0,0,0,0,0
170073627,0,0,0,0,0,0,0,0,0,0,0
170073628,1,1,1,1,1,1,1,1,1,1,1
170073630,1,2,1,1,1,1,1,1,1,1,1
170073632,2,0,0,0,0,0,0,0,0,0,0
170073637,2,2,2,1,0,2,2,2,0,2,2
170073640,2,2,2,1,0,0,1,1,2,2,2
170073642,1,2,1,1,1,1,2,1,2,1,1
170073643,1,2,2,1,0,2,0,0,1,0,0
170073649,0,0,0,2,0,0,0,0,0,0,0
170073695,1,1,0,0,0,0,0,0,0,0,0
170073746,0,0,0,0,0,0,0,0,0,0,0
170073747,2,1,1,1,1,1,1,1,1,1,1
170073753,0,0,2,0,0,2,2,2,2,2,2
170073754,0,0,2,0,0,0,0,0,0,0,0
170073761,0,0,0,0,0,0,0,0,0,0,0
170073764,2,1,2,1,1,2,1,1,1,1,2
170073765,0,2,1,0,0,0,0,0,0,0,0
170073766,1,0,0,0,0,0,0,0,0,2,0
170073783,0,0,0,0,0,0,0,0,0,0,0
170073787,1,2,1,0,0,0,0,0,0,0,0
170073788,0,0,0,0,0,0,0,0,0,0,0
170073795,2,1,1,1,1,1,1,1,1,1,0
170073818,1,1,1,1,1,1,1,1,1,1,1
170073867,0,0,0,0,0,0,0,0,0,0,0
170073868,0,0,0,0,0,0,0,0,0,0,0
170073870,0,0,0,0,0,0,0,0,0,0,0
170073871,2,2,2,1,1,1,1,1,1,1,1
170073904,0,0,2,0,0,1,0,0,0,0,0
170073905,1,1,1,0,0,0,0,0,0,0,0
170073906,0,0,0,0,0,0,0,0,0,0,0
170073913,0,2,2,1,2,2,1,2,1,1,1
170073914,2,0,0,0,0,0,0,0,0,0,0
170073915,2,2,0,0,0,0,0,0,0,0,0
170073952,2,2,0,0,0,0,0,0,0,0,0
170074030,1,1,0,0,0,0,0,0,0,1,0
170074031,0,0,0,0,0,0,0,0,0,0,0
170074032,2,2,1,1,1,1,1,1,1,1,1
170074037,2,0,0,0,0,0,0,2,1,2,0
170074038,2,0,0,0,0,0,0,0,2,0,1
170074040,0,0,0,0,1,0,0,0,0,0,0
170074041,2,1,1,1,2,2,1,1,1,1,1
170074064,0,0,0,0,0,0,0,0,0,0,0
170074071,0,0,0,0,0,0,0,0,0,0,0
170074073,1,0,1,0,0,0,0,0,0,0,0
170074077,0,0,1,0,2,0,1,2,0,2,0
170074124,2,1,1,1,1,1,1,1,2,2,1
170074125,1,2,1,1,0,1,0,0,0,0,0
170074163,2,1,0,1,1,1,2,1,1,1,1
170074164,1,1,1,1,1,1,1,1,1,1,1
170074168,1,1,1,1,1,1,1,1,1,1,1
170074169,0,0,0,0,0,0,0,0,0,0,0
170074178,0,0,0,0,0,0,0,0,2,0,0
170074186,0,0,0,0,0,0,0,0,0,2,0
170074199,2,1,1,1,1,1,1,1,1,1,1
170074200,0,0,0,0,0,0,0,0,0,0,0
170074201,0,0,0,0,0,0,0,0,0,0,0
170074202,0,0,0,0,0,0,0,0,0,0,0
170074204,1,1,1,1,1,1,1,1,1,1,1
170074205,2,0,0,0,0,0,0,0,0,0,0
170074208,0,0,0,0,0,0,0,0,0,0,0
170074211,0,0,0,0,0,0,0,0,0,0,0
170074213,0,0,0,0,0,0,0,0,0,0,0
170074214,2,2,1,0,0,0,0,0,0,0,0
170074217,1,0,2,0,0,0,0,2,0,2,2
170074222,0,0,0,0,0,0,0,0,0,0,0
170074223,0,0,0,0,0,0,0,0,0,0,0
170074225,1,0,0,0,0,0,0,0,0,0,0
170074230,2,0,2,0,2,2,2,2,0,0,0
170074231,0,0,0,0,0,0,0,0,2,0,0
