D_INTERVIEW,Q165,Q166,Q167,Q168
276071033,2,2,2,2
276071034,2,2,2,2
276071035,-1,-1,2,2
276071036,1,1,2,1
276071037,1,2,2,1
276071038,2,1,2,2
276071039,2,1,2,2
276071040,2,2,2,2
276071041,2,2,2,2
276071042,2,1,2,1
276071043,-1,-1,2,2
276071044,1,-1,2,-1
276071045,2,2,2,2
276071046,1,2,2,2
276071047,2,2,2,2
276071048,2,2,2,2
276071049,1,1,1,1
276071050,2,2,1,2
276071051,1,1,2,2
276071052,1,2,2,2
276071053,2,2,2,2
276071054,1,2,2,2
276071055,1,1,1,1
276071056,2,2,2,2
276071057,2,2,2,2
276071058,1,2,2,2
276071059,-1,1,2,2
276071060,2,2,2,2
276071061,1,2,2,2
276071062,-1,-1,2,2
276071063,2,-1,2,2
276071064,-1,1,-1,-1
276071065,1,1,2,1
276071066,1,2,2,2
276071067,1,1,2,2
276071068,1,1,2,1
276071069,1,1,1,1
276071070,2,2,2,2
276071071,2,2,2,2
276071072,2,2,2,2
276071073,1,2,2,2
276071074,-1,-2,-2,-2
276071075,1,1,1,1
276071076,1,1,2,1
276071077,1,2,2,2
276071078,2,1,2,2
276071079,2,2,2,2
276071080,2,2,2,2
276071081,1,-1,-1,1
276071082,1,1,2,1
276071083,1,-1,2,1
276071084,1,2,2,2
276071085,2,2,2,2
276071086,1,-1,2,2
276071087,2,1,2,2
276071088,1,1,1,1
276071089,1,1,2,2
276071090,1,2,2,2
276071091,1,1,1,1
276071092,1,1,1,1
276071093,1,1,1,1
276071094,1,1,2,1
276071095,1,1,1,1
276071096,1,1,2,2
276071097,2,-1,-1,-1
276071098,1,2,2,2
276071099,1,1,2,1
276071100,1,2,2,1
276071101,1,1,1,1
276071102,1,2,2,2
276071103,1,1,1,1
276071104,2,2,2,2
276071105,2,1,2,2
276071106,1,2,2,1
276071107,2,2,2,2
276071108,2,2,2,2
276071109,2,2,2,2
276071110,2,2,2,2
276071111,1,2,2,2
276071112,1,1,2,1
276071113,2,2,2,2
276071114,1,1,2,1
276071115,2,2,2,2
276071116,1,1,1,1
276071117,1,2,2,2
276071118,1,2,2,2
276071119,1,2,2,2
276071120,1,2,2,1
276071121,1,1,2,2
276071122,1,1,2,2
276071123,-2,-2,2,2
276071124,1,1,2,2
276071125,2,1,1,1
