D_INTERVIEW,Q165,Q166,Q167,Q168
840071879,1,1,1,1
840071880,1,1,1,1
840071881,1,1,1,1
840071882,2,2,2,2
840071883,1,1,1,1
840071884,1,1,1,1
840071885,1,2,2,2
840071886,1,1,1,1
840071887,1,2,1,1
840071888,2,2,2,2
840071889,1,1,1,1
840071890,1,1,2,1
840071891,1,1,1,1
840071892,1,1,1,1
840071893,1,2,2,1
840071894,2,2,2,2
840071895,2,1,1,1
840071896,1,1,1,1
840071897,1,2,1,1
840071898,1,1,1,1
840071899,1,1,1,1
840071900,1,1,1,1
840071901,1,1,1,1
840071902,2,2,2,2
840071903,1,1,1,1
840071904,1,1,1,1
840071905,1,1,2,1
840071906,1,1,2,1
840071907,1,1,1,1
840071908,1,1,1,1
840071909,1,1,2,2
840071910,1,1,1,1
840071911,1,1,1,1
840071912,1,1,1,1
840071913,1,1,1,2
840071914,1,1,1,1
840071915,1,1,1,1
840071916,1,2,1,1
840071917,1,1,1,1
840071918,1,1,1,2
840071919,1,1,1,1
840071920,1,2,2,1
840071921,1,1,1,1
840071922,1,1,1,1
840071923,1,1,1,1
840071924,1,1,1,1
840071925,1,2,1,1
840071926,1,1,1,1
840071927,1,1,1,1
840071928,1,2,2,2
840071929,1,1,2,1
840071930,1,2,1,1
840071931,1,1,2,2
840071932,2,1,2,2
840071933,1,1,1,1
840071934,1,1,1,1
840071935,2,2,2,2
840071936,1,1,1,1
840071937,1,1,1,1
840071938,1,1,1,1
840071939,1,1,1,1
840071940,-2,-2,-2,-2
840071941,1,2,1,1
840071942,1,1,1,1
840071943,1,2,1,1
840071944,1,1,1,1
840071945,1,1,1,1
840071946,1,1,1,1
840071947,1,1,1,1
840071948,1,1,1,1
840071949,2,2,2,2
840071950,1,2,1,1
840071951,1,1,1,1
840071952,2,2,2,2
840071953,1,1,1,1
840071954,1,1,1,1
840071955,1,1,1,1
840071956,1,1,1,1
840071957,1,1,1,1
840071958,1,1,2,2
840071959,1,1,1,1
840071960,2,1,2,2
840071961,1,1,1,1
840071962,1,1,1,1
840071963,1,2,1,1
840071964,1,1,1,1
840071965,1,1,1,1
840071966,1,1,1,1
840071967,1,1,1,1
840071968,1,1,1,1
840071969,1,1,1,1
840071970,1,1,1,1
840071971,1,1,2,2
840071972,1,1,1,2
840071973,1,1,1,1
840071974,1,1,1,1
840071975,1,1,1,1
840071976,1,1,1,1
840071977,1,1,1,1
840071978,1,1,1,1
840071979,1,1,1,1
840071980,1,1,1,1
840071981,1,1,1,1
840071982,1,1,2,2
840071983,1,1,1,1
840071984,2,1,2,2
840071985,2,1,2,2
840071986,1,2,1,2
840071987,1,-2,-2,-2
840071988,1,1,1,1
840071989,-2,-2,-2,-2
840071990,1,1,1,1
840071991,1,1,1,1
840071992,1,1,1,1
840071993,1,1,2,2
840071994,1,1,1,1
840071995,1,1,1,1
840071996,1,1,1,1
840071997,1,1,1,1
840071998,1,1,1,1
840071999,1,1,1,1
840072000,2,2,2,2
840072001,1,1,1,1
840072002,1,1,1,1
840072003,1,1,1,1
840072004,1,1,1,1
840072005,1,1,1,1
840072006,1,2,2,2
840072007,2,2,2,2
840072008,1,1,1,1
840072009,1,1,1,1
840072010,1,1,1,1
840072011,1,1,1,1
840072012,1,2,1,1
840072013,1,1,1,1
840072014,1,1,1,1
840072015,1,1,1,2
840072016,1,1,1,1
840072017,1,1,1,2
